Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,label
8080,1.010788917541504,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.603758506787,9.893262407667217,9.893262407667217,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11230987972683376,0.31530723748176104,1.0041289329528809,1.4066696166992188e-05,1.010788917541504,0.11230987972683376,0.31530723748176104,1.0041289329528809,1.4066696166992188e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.009443998336792,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.887603081309,9.90644356346313,9.90644356346313,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11216044425964355,0.3155908967722319,1.004784107208252,1.0013580322265625e-05,1.009443998336792,0.11216044425964355,0.3155908967722319,1.004784107208252,1.0013580322265625e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0083868503570557,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.8991483825084,9.916829038834788,9.916829038834788,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11204298337300618,0.31505373529982955,1.0031468868255615,1.4066696166992188e-05,1.0083868503570557,0.11204298337300618,0.31505373529982955,1.0031468868255615,1.4066696166992188e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.01242995262146,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,962.0418651957558,9.877226542050881,9.877226542050881,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11249221695794,0.31512759053306166,1.0037970542907715,1.5020370483398438e-05,1.01242995262146,0.11249221695794,0.31512759053306166,1.0037970542907715,1.5020370483398438e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0104129314422607,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.9623263824573,9.896943802694633,9.896943802694633,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11226810349358453,0.3159319650390086,1.0058560371398926,7.152557373046875e-06,1.0104129314422607,0.11226810349358453,0.3159319650390086,1.0058560371398926,7.152557373046875e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0096790790557861,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.6629510347467,9.904137074278713,9.904137074278713,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.1121865643395318,0.3153228864461756,1.0040521621704102,1.4066696166992188e-05,1.0096790790557861,0.1121865643395318,0.3153228864461756,1.0040521621704102,1.4066696166992188e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0089430809020996,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.366647967042,9.911361888778666,9.911361888778666,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11210478676689996,0.3155270479452742,1.0045480728149414,1.0967254638671875e-05,1.0089430809020996,0.11210478676689996,0.3155270479452742,1.0045480728149414,1.0967254638671875e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0076990127563477,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,966.558454131883,9.923598091703111,9.923598091703111,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11196655697292751,0.31509232151114447,1.0031800270080566,8.821487426757812e-06,1.0076990127563477,0.11196655697292751,0.31509232151114447,1.0031800270080566,8.821487426757812e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0102770328521729,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.0919948959375,9.898275101601001,9.898275101601001,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11225300365024143,0.3152533208277138,1.003920078277588,1.0967254638671875e-05,1.0102770328521729,0.11225300365024143,0.3152533208277138,1.003920078277588,1.0967254638671875e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0131900310516357,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,961.3201572749797,9.86981680980472,9.86981680980472,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11257667011684841,0.3158577379855172,1.0059528350830078,2.193450927734375e-05,1.0131900310516357,0.11257667011684841,0.3158577379855172,1.0059528350830078,2.193450927734375e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0089020729064941,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.405886414777,9.91176474758498,9.91176474758498,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11210023032294379,0.3152812458616071,1.0038480758666992,1.0967254638671875e-05,1.0089020729064941,0.11210023032294379,0.3152812458616071,1.0038480758666992,1.0967254638671875e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
