,precision,recall,f1-score,support
BENIGN,0.9937027707808564,1.0,0.9968414403032217,789.0
HULK,0.9852034525277436,0.9864197530864197,0.9858112276372609,810.0
SYNFLOOD,0.9887766554433222,1.0,0.9943566591422122,881.0
UDPFLOOD,0.9985611510791367,0.9747191011235955,0.9864960909737029,712.0
POSTFLOOD,0.995702005730659,0.9971305595408895,0.996415770609319,697.0
accuracy,0.9920287991771664,0.9920287991771664,0.9920287991771664,0.9920287991771664
macro avg,0.9923892071123435,0.9916538827501811,0.9919842377331435,3889.0
weighted avg,0.9920643748268833,0.9920287991771664,0.9920108553298236,3889.0
