,precision,recall,f1-score,support
benigno,0.9814814814814815,1.0,0.9906542056074766,265.0
hulk,0.9772727272727273,0.9772727272727273,0.9772727272727273,264.0
synflood,0.9886792452830189,0.9924242424242424,0.9905482041587902,264.0
udpflood,0.9923371647509579,0.9773584905660377,0.9847908745247148,265.0
postflood,0.9923664122137404,0.9848484848484849,0.9885931558935361,264.0
accuracy,0.9863842662632375,0.9863842662632375,0.9863842662632375,0.9863842662632375
macro avg,0.986427406200385,0.9863807890222984,0.9863718334914491,1322.0
weighted avg,0.9864281352728751,0.9863842662632375,0.9863738769204575,1322.0
