,precision,recall,f1-score,support
benigno,0.9887640449438202,0.9962264150943396,0.9924812030075187,265.0
hulk,0.9887218045112782,0.9962121212121212,0.9924528301886792,264.0
synflood,0.9962264150943396,1.0,0.998109640831758,264.0
udpflood,1.0,0.9962264150943396,0.998109640831758,265.0
postflood,1.0,0.9848484848484849,0.9923664122137404,264.0
accuracy,0.9947049924357034,0.9947049924357034,0.9947049924357034,0.9947049924357034
macro avg,0.9947424529098876,0.9947026872498572,0.9947039454146909,1322.0
weighted avg,0.9947419076293461,0.9947049924357034,0.9947048402354246,1322.0
